N 	 x 	 r 	 F1 	 F2
579 	 23 	 32 	 3 	 193
581 	 22 	 82 	 7 	 83
583 	 2 	 260 	 11 	 53
585 	 8 	 4 	 9 	 65
589 	 11 	 30 	 19 	 31
591 	 7 	 98 	 3 	 197
595 	 24 	 48 	 35 	 17
597 	 20 	 198 	 199 	 3
603 	 17 	 66 	 67 	 9
605 	 12 	 44 	 121 	 5
609 	 13 	 14 	 3 	 203
611 	 21 	 92 	 47 	 13
615 	 14 	 8 	 15 	 41
621 	 22 	 18 	 27 	 23
623 	 17 	 132 	 7 	 89
627 	 20 	 10 	 209 	 3
629 	 4 	 36 	 37 	 17
633 	 22 	 210 	 3 	 211
635 	 13 	 252 	 127 	 5
637 	 5 	 84 	 49 	 13
639 	 22 	 210 	 9 	 71
645 	 17 	 84 	 129 	 5
649 	 14 	 290 	 11 	 59
651 	 2 	 30 	 217 	 3
655 	 2 	 260 	 131 	 5
657 	 20 	 72 	 9 	 73
663 	 10 	 48 	 39 	 17
665 	 17 	 36 	 133 	 5
667 	 12 	 44 	 23 	 29
669 	 17 	 74 	 223 	 3
671 	 3 	 10 	 11 	 61
675 	 13 	 180 	 27 	 25
679 	 26 	 96 	 7 	 97
681 	 11 	 226 	 227 	 3
685 	 6 	 136 	 5 	 137
687 	 20 	 114 	 229 	 3
689 	 23 	 12 	 13 	 53
693 	 5 	 30 	 11 	 63
695 	 13 	 276 	 139 	 5
697 	 12 	 80 	 41 	 17
699 	 26 	 116 	 3 	 233
703 	 17 	 36 	 19 	 37
705 	 22 	 92 	 141 	 5
707 	 12 	 300 	 7 	 101
711 	 26 	 78 	 79 	 9
713 	 26 	 66 	 23 	 31
715 	 23 	 12 	 143 	 5
717 	 5 	 238 	 239 	 3
721 	 13 	 34 	 103 	 7
723 	 20 	 120 	 3 	 241
725 	 23 	 140 	 29 	 25
731 	 8 	 56 	 43 	 17
735 	 17 	 84 	 147 	 5
737 	 3 	 110 	 11 	 67
741 	 20 	 12 	 57 	 13
745 	 19 	 74 	 149 	 5
747 	 19 	 82 	 9 	 83
749 	 22 	 106 	 7 	 107
753 	 5 	 50 	 251 	 3
755 	 2 	 60 	 151 	 5
759 	 8 	 110 	 23 	 33
763 	 6 	 108 	 7 	 109
765 	 26 	 8 	 45 	 17
767 	 11 	 348 	 59 	 13
771 	 17 	 32 	 3 	 257
775 	 21 	 30 	 25 	 31
777 	 11 	 6 	 7 	 111
779 	 11 	 120 	 19 	 41
781 	 6 	 70 	 71 	 11
783 	 14 	 252 	 27 	 29
785 	 12 	 12 	 157 	 5
789 	 28 	 262 	 3 	 263
791 	 19 	 336 	 7 	 113
793 	 3 	 30 	 13 	 61
795 	 4 	 26 	 3 	 265
799 	 3 	 368 	 47 	 17
801 	 20 	 132 	 9 	 89
803 	 17 	 120 	 11 	 73
805 	 22 	 4 	 161 	 5
807 	 28 	 268 	 3 	 269
813 	 19 	 30 	 3 	 271
815 	 23 	 36 	 163 	 5
817 	 7 	 6 	 19 	 43
819 	 8 	 4 	 63 	 13
825 	 4 	 10 	 33 	 25
831 	 4 	 46 	 3 	 277
833 	 12 	 336 	 49 	 17
835 	 8 	 332 	 167 	 5
837 	 2 	 90 	 31 	 27
843 	 23 	 280 	 3 	 281
845 	 12 	 52 	 169 	 5
847 	 12 	 66 	 121 	 7
849 	 29 	 94 	 283 	 3
851 	 5 	 396 	 23 	 37
855 	 2 	 36 	 171 	 5
861 	 2 	 60 	 21 	 41
865 	 21 	 86 	 5 	 173
867 	 13 	 68 	 3 	 289
869 	 13 	 390 	 79 	 11
871 	 18 	 132 	 67 	 13
873 	 28 	 32 	 9 	 97
875 	 13 	 100 	 7 	 125
879 	 2 	 292 	 3 	 293
885 	 28 	 116 	 177 	 5
889 	 13 	 126 	 127 	 7
891 	 23 	 54 	 11 	 81
893 	 14 	 414 	 47 	 19
895 	 27 	 356 	 179 	 5
897 	 2 	 132 	 69 	 13
899 	 14 	 420 	 31 	 29
901 	 7 	 208 	 53 	 17
903 	 29 	 42 	 7 	 129
905 	 11 	 90 	 5 	 181
909 	 28 	 100 	 9 	 101
913 	 28 	 410 	 83 	 11
915 	 19 	 30 	 3 	 305
917 	 8 	 130 	 7 	 131
921 	 11 	 306 	 307 	 3
923 	 8 	 140 	 71 	 13
925 	 29 	 60 	 25 	 37
927 	 26 	 102 	 103 	 9
931 	 6 	 126 	 19 	 49
933 	 20 	 62 	 311 	 3
935 	 16 	 10 	 55 	 17
939 	 10 	 312 	 3 	 313
943 	 28 	 440 	 23 	 41
945 	 4 	 18 	 189 	 5
949 	 20 	 72 	 13 	 73
951 	 7 	 158 	 3 	 317
955 	 8 	 380 	 191 	 5
957 	 7 	 70 	 87 	 11
959 	 29 	 136 	 7 	 137
963 	 11 	 318 	 107 	 9
965 	 22 	 192 	 5 	 193
969 	 4 	 36 	 57 	 17
973 	 31 	 138 	 139 	 7
975 	 4 	 30 	 3 	 325
979 	 14 	 440 	 11 	 89
981 	 31 	 54 	 9 	 109
985 	 24 	 98 	 197 	 5
987 	 10 	 138 	 3 	 329
989 	 10 	 462 	 43 	 23
993 	 28 	 330 	 3 	 331
995 	 6 	 198 	 5 	 199
999 	 19 	 36 	 27 	 37
1001 	 29 	 30 	 91 	 11
1003 	 28 	 464 	 59 	 17
1005 	 2 	 132 	 201 	 5
1007 	 12 	 156 	 19 	 53
1011 	 25 	 56 	 3 	 337
1015 	 6 	 14 	 5 	 203
1017 	 17 	 112 	 9 	 113
